C0000100,C0000200,birth_year,survey_year,age,n_items_observed,any_qualifying_event,positive_items,item_codes,item_families,in_age_window_15_25,pre_predictor_cutoff
4401,44.0,1981.0,1996,15.0,3,0.0,0.0,Y0669000;Y0669600;Y0670200,attacked_to_hurt;hurt_need_doctor;physical_fight,True,False
4401,44.0,1981.0,1998,17.0,3,0.0,0.0,Y0966400;Y0967000;Y0967600,attacked_to_hurt;hurt_need_doctor;physical_fight,True,False
4401,44.0,1981.0,2000,19.0,1,0.0,0.0,Y1176200,physical_fight,True,False
4401,44.0,1981.0,2008,27.0,1,0.0,0.0,Y2257500,physical_fight,False,False
4401,44.0,1981.0,2010,29.0,1,0.0,0.0,Y2609100,physical_fight,False,False
4402,44.0,1985.0,2000,15.0,1,0.0,0.0,Y1176200,physical_fight,True,False
4402,44.0,1985.0,2002,17.0,1,0.0,0.0,Y1415900,hurt_physically,True,False
4402,44.0,1985.0,2004,19.0,1,0.0,0.0,Y1668200,physical_fight,True,False
4402,44.0,1985.0,2008,23.0,1,0.0,0.0,Y2257500,physical_fight,True,False
4402,44.0,1985.0,2010,25.0,1,0.0,0.0,Y2609100,physical_fight,True,False
4402,44.0,1985.0,2012,27.0,1,0.0,0.0,Y2959200,physical_fight,False,False
4901,49.0,1982.0,1998,16.0,3,0.0,0.0,Y0966400;Y0967000;Y0967600,attacked_to_hurt;hurt_need_doctor;physical_fight,True,False
4901,49.0,1982.0,2000,18.0,1,0.0,0.0,Y1176200,physical_fight,True,False
4901,49.0,1982.0,2002,20.0,1,0.0,0.0,Y1416800,physical_fight,True,False
4901,49.0,1982.0,2004,22.0,1,0.0,0.0,Y1668200,physical_fight,True,False
4901,49.0,1982.0,2006,24.0,1,0.0,0.0,Y1941500,physical_fight,True,False
4901,49.0,1982.0,2008,26.0,1,0.0,0.0,Y2257500,physical_fight,False,False
4901,49.0,1982.0,2010,28.0,1,0.0,0.0,Y2609100,physical_fight,False,False
4901,49.0,1982.0,2012,30.0,1,0.0,0.0,Y2959200,physical_fight,False,False
4902,49.0,1987.0,2002,15.0,1,0.0,0.0,Y1415900,hurt_physically,True,False
4902,49.0,1987.0,2004,17.0,1,0.0,0.0,Y1667300,hurt_physically,True,False
4902,49.0,1987.0,2006,19.0,1,0.0,0.0,Y1941500,physical_fight,True,False
4902,49.0,1987.0,2008,21.0,1,0.0,0.0,Y2257500,physical_fight,True,False
4902,49.0,1987.0,2010,23.0,1,0.0,0.0,Y2609100,physical_fight,True,False
4902,49.0,1987.0,2012,25.0,1,0.0,0.0,Y2959200,physical_fight,True,False
5001,50.0,1985.0,2000,15.0,1,1.0,1.0,Y1176200,physical_fight,True,False
5001,50.0,1985.0,2002,17.0,1,0.0,0.0,Y1415900,hurt_physically,True,False
5001,50.0,1985.0,2010,25.0,1,1.0,1.0,Y2609100,physical_fight,True,False
5002,50.0,1988.0,2004,16.0,1,0.0,0.0,Y1667300,hurt_physically,True,False
5002,50.0,1988.0,2006,18.0,1,1.0,1.0,Y1941500,physical_fight,True,False
5002,50.0,1988.0,2010,22.0,1,0.0,0.0,Y2609100,physical_fight,True,False
5005,50.0,1992.0,2008,16.0,1,0.0,0.0,Y2256600,hurt_physically,True,False
5005,50.0,1992.0,2010,18.0,1,0.0,0.0,Y2608200,hurt_physically,True,False
5005,50.0,1992.0,2012,20.0,1,0.0,0.0,Y2959200,physical_fight,True,False
5701,57.0,1979.0,1990,11.0,1,0.0,0.0,C0942400,hurt_need_doctor,False,True
5701,57.0,1979.0,1994,15.0,3,0.0,0.0,Y0375300;Y0375900;Y0376500,attacked_to_hurt;hurt_need_doctor;physical_fight,True,False
5701,57.0,1979.0,1996,17.0,3,0.0,0.0,Y0669000;Y0669600;Y0670200,attacked_to_hurt;hurt_need_doctor;physical_fight,True,False
5701,57.0,1979.0,1998,19.0,3,0.0,0.0,Y0966400;Y0967000;Y0967600,attacked_to_hurt;hurt_need_doctor;physical_fight,True,False
5701,57.0,1979.0,2000,21.0,1,0.0,0.0,Y1176200,physical_fight,True,False
5701,57.0,1979.0,2002,23.0,1,0.0,0.0,Y1416800,physical_fight,True,False
5701,57.0,1979.0,2004,25.0,1,0.0,0.0,Y1668200,physical_fight,True,False
5701,57.0,1979.0,2006,27.0,1,0.0,0.0,Y1941500,physical_fight,False,False
5701,57.0,1979.0,2008,29.0,1,0.0,0.0,Y2257500,physical_fight,False,False
5701,57.0,1979.0,2012,33.0,1,0.0,0.0,Y2959200,physical_fight,False,False
5702,57.0,1995.0,2010,15.0,1,1.0,1.0,Y2608200,hurt_physically,True,False
5702,57.0,1995.0,2012,17.0,1,0.0,0.0,Y2958300,hurt_physically,True,False
5703,57.0,1998.0,2014,16.0,1,0.0,0.0,Y3325701,hurt_physically,True,False
5801,58.0,1981.0,1996,15.0,3,0.0,0.0,Y0669000;Y0669600;Y0670200,attacked_to_hurt;hurt_need_doctor;physical_fight,True,False
5801,58.0,1981.0,2000,19.0,1,1.0,1.0,Y1176200,physical_fight,True,False
5801,58.0,1981.0,2004,23.0,1,0.0,0.0,Y1668200,physical_fight,True,False
5801,58.0,1981.0,2006,25.0,1,0.0,0.0,Y1941500,physical_fight,True,False
5801,58.0,1981.0,2008,27.0,1,0.0,0.0,Y2257500,physical_fight,False,False
